"DIN","status","name","description","atc_number(s)","atc(s)"
"02450313","marketed","LENVIMA","LENVIMA (LENVATINIB (LENVATINIB MESYLATE) 14MG)","L01EX08","LENVATINIB"
"02450321","marketed","LENVIMA","LENVIMA (LENVATINIB (LENVATINIB MESYLATE) 10MG)","L01EX08","LENVATINIB"
"02450429","marketed","TARO-TRAMADOL ER","TARO-TRAMADOL ER (TRAMADOL HYDROCHLORIDE 100MG)","N02AX02","TRAMADOL"
"02450437","marketed","TARO-TRAMADOL ER","TARO-TRAMADOL ER (TRAMADOL HYDROCHLORIDE 200MG)","N02AX02","TRAMADOL"
"02450445","marketed","TARO-TRAMADOL ER","TARO-TRAMADOL ER (TRAMADOL HYDROCHLORIDE 300MG)","N02AX02","TRAMADOL"
"02450461","approved","MYLAN-VERAPAMIL SR","MYLAN-VERAPAMIL SR (VERAPAMIL HYDROCHLORIDE 120MG)","C08DA01","VERAPAMIL"
"02450488","marketed","MYLAN-VERAPAMIL SR","MYLAN-VERAPAMIL SR (VERAPAMIL HYDROCHLORIDE 180MG)","C08DA01","VERAPAMIL"
"02450496","marketed","MYLAN-VERAPAMIL SR","MYLAN-VERAPAMIL SR (VERAPAMIL HYDROCHLORIDE 240MG)","C08DA01","VERAPAMIL"
"02450526","marketed","CETIRIZINE","CETIRIZINE (CETIRIZINE HYDROCHLORIDE 20MG)","R06AE07","CETIRIZINE"
"02450534","marketed","REFRESH OPTIVE FUSION SENSITIVE","REFRESH OPTIVE FUSION SENSITIVE (GLYCERINE 1%, CARBOXYMETHYLCELLULOSE SODIUM 0.5%)","S01XA20;S01XA20","ARTIFICIAL TEARS AND OTHER INDIFFERENT PREPARATIONS.;ARTIFICIAL TEARS AND OTHER INDIFFERENT PREPARATIONS."
"02450550","marketed","NATESTO","NATESTO (TESTOSTERONE 4.5%)","G03BA03","TESTOSTERONE"
"02450585","marketed","SUN ULTIMATE SPRAY SPF/FPS 30","SUN ULTIMATE SPRAY SPF/FPS 30 (AVOBENZONE 2.5%, HOMOSALATE 7%, OCTISALATE 5%, OCTINOXATE 7.5%)","D02BA30;D02BA30;D02B","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTEC"
"02450623","marketed","FRAXIPARINE","FRAXIPARINE (NADROPARIN CALCIUM 9500UNIT)","B01AB06","NADROPARIN"
"02450631","marketed","FRAXIPARINE","FRAXIPARINE (NADROPARIN CALCIUM 9500UNIT)","B01AB06","NADROPARIN"
"02450658","marketed","FRAXIPARINE","FRAXIPARINE (NADROPARIN CALCIUM 9500UNIT)","B01AB06","NADROPARIN"
"02450682","marketed","MYLAN-ABACAVIR/LAMIVUDINE","MYLAN-ABACAVIR/LAMIVUDINE (LAMIVUDINE 300MG, ABACAVIR (ABACAVIR SULFATE) 600MG)","J05AR02;J05AR02","LAMIVUDINE AND ABACAVIR;LAMIVUDINE AND ABACAVIR"
"02450739","marketed","ALOE SOOTHING MOISTURE LOTION SPF 15","ALOE SOOTHING MOISTURE LOTION SPF 15 (AVOBENZONE 3%, OCTOCRYLENE 2.2%, OCTISALATE 5%, OCTINOXATE 2.9%)","D02BA30;D02BA30;D02B","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTEC"
"02450771","marketed","BUTRANS 15","BUTRANS 15 (BUPRENORPHINE 15MCG)","N02AE01","BUPRENORPHINE"
"02450801","approved","ANODAN-PLUS","ANODAN-PLUS (PRAMOXINE HYDROCHLORIDE 20MG, ZINC SULFATE 10MG)","C05AD07;C05AD07","PRAMOCAINE;PRAMOCAINE"
"02450860","marketed","ACH-QUETIAPINE FUMARATE XR","ACH-QUETIAPINE FUMARATE XR (QUETIAPINE (QUETIAPINE FUMARATE) 50MG)","N05AH04","QUETIAPINE"
"02450879","marketed","ACH-QUETIAPINE FUMARATE XR","ACH-QUETIAPINE FUMARATE XR (QUETIAPINE (QUETIAPINE FUMARATE) 150MG)","N05AH04","QUETIAPINE"
"02450887","marketed","ACH-QUETIAPINE FUMARATE XR","ACH-QUETIAPINE FUMARATE XR (QUETIAPINE (QUETIAPINE FUMARATE) 200MG)","N05AH04","QUETIAPINE"
"02450895","marketed","ACH-QUETIAPINE FUMARATE XR","ACH-QUETIAPINE FUMARATE XR (QUETIAPINE (QUETIAPINE FUMARATE) 300MG)","N05AH04","QUETIAPINE"
"02450909","marketed","ACH-QUETIAPINE FUMARATE XR","ACH-QUETIAPINE FUMARATE XR (QUETIAPINE (QUETIAPINE FUMARATE) 400MG)","N05AH04","QUETIAPINE"
"02450925","approved","SILDENAFIL","SILDENAFIL (SILDENAFIL (SILDENAFIL CITRATE) 25MG)","G04BE03","SILDENAFIL"
"02450933","approved","SILDENAFIL","SILDENAFIL (SILDENAFIL (SILDENAFIL CITRATE) 50MG)","G04BE03","SILDENAFIL"
"02450941","approved","SILDENAFIL","SILDENAFIL (SILDENAFIL (SILDENAFIL CITRATE) 100MG)","G04BE03","SILDENAFIL"
"02450968","approved","SILDENAFIL R","SILDENAFIL R (SILDENAFIL (SILDENAFIL CITRATE) 20MG)","C02KX","ANTIHYPERTENSIVES FOR PULMONARY ARTERIAL HYPERTENSION"
"02451026","approved","BACITRACIN OINTMENT","BACITRACIN OINTMENT (BACITRACIN (BACITRACIN ZINC) 500UNIT)","D06AX05","BACITRACIN"
"02451034","marketed","KYPROLIS","KYPROLIS (CARFILZOMIB 60MG)","L01XG02","CARFILZOMIB"
"02451158","marketed","UPTRAVI","UPTRAVI (SELEXIPAG 200MCG)","B01AC27","SELEXIPAG"
"02451166","marketed","UPTRAVI","UPTRAVI (SELEXIPAG 400MCG)","B01AC27","SELEXIPAG"
"02451174","marketed","UPTRAVI","UPTRAVI (SELEXIPAG 600MCG)","B01AC27","SELEXIPAG"
"02451182","marketed","UPTRAVI","UPTRAVI (SELEXIPAG 800MCG)","B01AC27","SELEXIPAG"
"02451190","marketed","UPTRAVI","UPTRAVI (SELEXIPAG 1000MCG)","B01AC27","SELEXIPAG"
"02451204","marketed","UPTRAVI","UPTRAVI (SELEXIPAG 1200MCG)","B01AC27","SELEXIPAG"
"02451212","marketed","UPTRAVI","UPTRAVI (SELEXIPAG 1400MCG)","B01AC27","SELEXIPAG"
"02451220","marketed","UPTRAVI","UPTRAVI (SELEXIPAG 1600MCG)","B01AC27","SELEXIPAG"
"02451239","approved","ESTRADIOL","ESTRADIOL (ESTRADIOL 0.5MG)","G03CA03","ESTRADIOL"
"02451247","approved","ESTRADIOL","ESTRADIOL (ESTRADIOL 1MG)","G03CA03","ESTRADIOL"
"02451255","approved","ESTRADIOL","ESTRADIOL (ESTRADIOL 2MG)","G03CA03","ESTRADIOL"
"02451298","marketed","MUSCLE AND BACK PAIN RELIEF","MUSCLE AND BACK PAIN RELIEF (ACETAMINOPHEN 500MG, ACETAMINOPHEN 500MG, METHOCARBAMOL 400MG, METHOCARBAMOL 400MG)","M03BA53;M03BA53;M03B","METHOCARBAMOL, COMBINATIONS EXCL PSYCHOLEPTICS;METHOCARBAMOL, COMBINATIONS EXCL PSYCHOLEPTICS;METHOCARBAMOL, COMBINATION"
"02451301","marketed","KINOX","KINOX (NITRIC OXIDE 100PPM)","R07AX01","NITRIC OXIDE"
"02451328","marketed","KINOX","KINOX (NITRIC OXIDE 800PPM)","R07AX01","NITRIC OXIDE"
"02451336","approved","IDELVION","IDELVION (COAGULATION FACTOR IX (RECOMBINANT), ALBUMIN FUSION PROTEIN (RIX-FP) 250UNIT)","B02BD04","COAGULATION FACTOR IX"
"02451344","approved","IDELVION","IDELVION (COAGULATION FACTOR IX (RECOMBINANT), ALBUMIN FUSION PROTEIN (RIX-FP) 500UNIT)","B02BD04","COAGULATION FACTOR IX"
"02451352","marketed","IDELVION","IDELVION (COAGULATION FACTOR IX (RECOMBINANT), ALBUMIN FUSION PROTEIN (RIX-FP) 1000UNIT)","B02BD04","COAGULATION FACTOR IX"
"02451360","approved","IDELVION","IDELVION (COAGULATION FACTOR IX (RECOMBINANT), ALBUMIN FUSION PROTEIN (RIX-FP) 2000UNIT)","B02BD04","COAGULATION FACTOR IX"
"02451379","marketed","ORKAMBI","ORKAMBI (IVACAFTOR 125MG, IVACAFTOR 125MG, LUMACAFTOR 200MG, LUMACAFTOR 200MG)","R07AX30;R07AX30;R07A","IVACAFTOR AND LUMACAFTOR;IVACAFTOR AND LUMACAFTOR;IVACAFTOR AND LUMACAFTOR;IVACAFTOR AND LUMACAFTOR"
"02451387","approved","AURO-VORICONAZOLE","AURO-VORICONAZOLE (VORICONAZOLE 50MG)","J02AC03","VORICONAZOLE"
"02451395","approved","AURO-VORICONAZOLE","AURO-VORICONAZOLE (VORICONAZOLE 200MG)","J02AC03","VORICONAZOLE"
"02451425","marketed","NOXIVENT","NOXIVENT (NITRIC OXIDE 800PPM)","R07AX01","NITRIC OXIDE"
"02451433","approved","DIARRHEA RELIEF LIQUID GELS","DIARRHEA RELIEF LIQUID GELS (LOPERAMIDE HYDROCHLORIDE 2MG)","A07DA03","LOPERAMIDE"
"02451441","marketed","KOVALTRY","KOVALTRY (ANTIHEMOPHILIC FACTOR (RECOMBINANT) 250UNIT)","B02BD02","COAGULATION FACTOR VIII"
"02451468","marketed","KOVALTRY","KOVALTRY (ANTIHEMOPHILIC FACTOR (RECOMBINANT) 500UNIT)","B02BD02","COAGULATION FACTOR VIII"
"02451476","marketed","KOVALTRY","KOVALTRY (ANTIHEMOPHILIC FACTOR (RECOMBINANT) 1000UNIT)","B02BD02","COAGULATION FACTOR VIII"
"02451484","marketed","KOVALTRY","KOVALTRY (ANTIHEMOPHILIC FACTOR (RECOMBINANT) 2000UNIT)","B02BD02","COAGULATION FACTOR VIII"
"02451492","marketed","KOVALTRY","KOVALTRY (ANTIHEMOPHILIC FACTOR (RECOMBINANT) 3000UNIT)","B02BD02","COAGULATION FACTOR VIII"
"02451530","marketed","VIACORAM","VIACORAM (AMLODIPINE (AMLODIPINE BESYLATE) 2.5MG, AMLODIPINE (AMLODIPINE BESYLATE) 2.5MG, PERINDOPRIL ARGININE 3.5MG, PERINDOPRIL ARGININE 3.5MG)","C09BB04;C09BB04;C09B","PERINDOPRIL AND AMLODIPINE;PERINDOPRIL AND AMLODIPINE;PERINDOPRIL AND AMLODIPINE;PERINDOPRIL AND AMLODIPINE"
"02451549","marketed","VIACORAM","VIACORAM (AMLODIPINE (AMLODIPINE BESYLATE) 5MG, AMLODIPINE (AMLODIPINE BESYLATE) 5MG, PERINDOPRIL ARGININE 7MG, PERINDOPRIL ARGININE 7MG)","C09BB04;C09BB04;C09B","PERINDOPRIL AND AMLODIPINE;PERINDOPRIL AND AMLODIPINE;PERINDOPRIL AND AMLODIPINE;PERINDOPRIL AND AMLODIPINE"
"02451557","marketed","VIACORAM","VIACORAM (AMLODIPINE (AMLODIPINE BESYLATE) 10MG, AMLODIPINE (AMLODIPINE BESYLATE) 10MG, PERINDOPRIL ARGININE 14MG, PERINDOPRIL ARGININE 14MG)","C09BB04;C09BB04;C09B","PERINDOPRIL AND AMLODIPINE;PERINDOPRIL AND AMLODIPINE;PERINDOPRIL AND AMLODIPINE;PERINDOPRIL AND AMLODIPINE"
"02451573","marketed","PREGVIT","PREGVIT (IRON (FERROUS FUMARATE) 35MG, ZINC (ZINC OXIDE) 15MG, COPPER (CUPRIC OXIDE) 2MG, ASCORBIC ACID (ASCORBIC ACID) 120MG, VITAMIN E (DL-ALPHA TOCOPHERYL ACETATE) 13.8MG, VITAMIN B12 (CYANOCOBALAMIN) 12MCG, CALCIUM (CALCIUM CARBONATE) 300MG, VITAMIN D3 (CHOLECALCIFEROL) 600UNIT, FOLIC ACID 1.1MG, D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE) 5MG, NICOTINAMIDE 20MG, MAGNESIUM (MAGNESIUM OXIDE) 50MG, IODINE (POTASSIUM IODIDE) 0.15MG, BETA-CAROTENE 1.6MG, VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE) 10MG, VITAMIN B1 (THIAMINE MONONITRATE) 3MG, VITAMIN B2 (RIBOFLAVIN) 3.4MG)","B03AE04;B03AE04;B03A","IRON, MULTIVITAMINS AND MINERALS;IRON, MULTIVITAMINS AND MINERALS;IRON, MULTIVITAMINS AND MINERALS;IRON, MULTIVITAMINS A"
"02451581","marketed","PREGVIT FOLIC 5","PREGVIT FOLIC 5 (IRON (FERROUS FUMARATE) 35MG, ZINC (ZINC OXIDE) 15MG, COPPER (CUPRIC OXIDE) 2MG, ASCORBIC ACID (ASCORBIC ACID) 120MG, VITAMIN E (DL-ALPHA TOCOPHERYL ACETATE) 13.8MG, VITAMIN B12 (CYANOCOBALAMIN) 12MCG, CALCIUM (CALCIUM CARBONATE) 300MG, VITAMIN D3 (CHOLECALCIFEROL) 600UNIT, FOLIC ACID 5MG, D-PANTOTHENIC ACID (CALCIUM D-PANTOTHENATE) 5MG, NICOTINAMIDE 20MG, MAGNESIUM (MAGNESIUM OXIDE) 50MG, IODINE (POTASSIUM IODIDE) 0.15MG, BETA-CAROTENE 1.6MG, VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE) 10MG, VITAMIN B1 (THIAMINE MONONITRATE) 3MG, VITAMIN B2 (RIBOFLAVIN) 3.4MG)","B03AE04;B03AE04;B03A","IRON, MULTIVITAMINS AND MINERALS;IRON, MULTIVITAMINS AND MINERALS;IRON, MULTIVITAMINS AND MINERALS;IRON, MULTIVITAMINS A"
"02451662","approved","MINT-TADALAFIL","MINT-TADALAFIL (TADALAFIL 2.5MG)","G04BE08","TADALAFIL"
"02451670","marketed","MINT-TADALAFIL","MINT-TADALAFIL (TADALAFIL 5MG)","G04BE08","TADALAFIL"
"02451689","approved","MINT-TADALAFIL","MINT-TADALAFIL (TADALAFIL 10MG)","G04BE08","TADALAFIL"
"02451697","marketed","MINT-TADALAFIL","MINT-TADALAFIL (TADALAFIL 20MG)","G04BE08","TADALAFIL"
"02451727","marketed","CLOTRIMAZOLE-FLUCONAZOLE COMBI","CLOTRIMAZOLE-FLUCONAZOLE COMBI (FLUCONAZOLE 150MG, CLOTRIMAZOLE 1%)","J02AC01;J02AC01","FLUCONAZOLE;FLUCONAZOLE"
"02451735","approved","NASAL SPRAY ALLERGY 24HR","NASAL SPRAY ALLERGY 24HR (TRIAMCINOLONE ACETONIDE 55MCG)","R01AD11","TRIAMCINOLONE"
"02451778","marketed","JAMP-CETIRIZINE","JAMP-CETIRIZINE (CETIRIZINE HYDROCHLORIDE 10MG)","R06AE07","CETIRIZINE"
"02451816","marketed","BRIDION","BRIDION (SUGAMMADEX (SUGAMMADEX SODIUM) 100MG)","V03AB35","SUGAMMADEX"
"02451832","marketed","JAMP-TADALAFIL","JAMP-TADALAFIL (TADALAFIL 5MG)","G04BE08","TADALAFIL"
"02451840","marketed","JAMP-TADALAFIL","JAMP-TADALAFIL (TADALAFIL 10MG)","G04BE08","TADALAFIL"
"02451859","marketed","JAMP-TADALAFIL","JAMP-TADALAFIL (TADALAFIL 20MG)","G04BE08","TADALAFIL"
"02451867","approved","ACH-TOLTERODINE TARTRATE EXTENDED RELEASE","ACH-TOLTERODINE TARTRATE EXTENDED RELEASE (TOLTERODINE TARTRATE 2MG)","G04BD07","TOLTERODINE"
"02451875","approved","ACH-TOLTERODINE TARTRATE EXTENDED RELEASE","ACH-TOLTERODINE TARTRATE EXTENDED RELEASE (TOLTERODINE TARTRATE 4MG)","G04BD07","TOLTERODINE"
"02451883","marketed","NALTREXONE HYDROCHLORIDE TABLETS USP","NALTREXONE HYDROCHLORIDE TABLETS USP (NALTREXONE HYDROCHLORIDE 50MG)","N07BB04","NALTREXONE"
"02451905","approved","NASAL ALLERGY AND CONGESTION RELIEF","NASAL ALLERGY AND CONGESTION RELIEF (MOMETASONE FUROATE 50MCG)","R01AD09","MOMETASONE"
"02451913","marketed","JAMP-DULOXETINE","JAMP-DULOXETINE (DULOXETINE (DULOXETINE HYDROCHLORIDE) 30MG)","N06AX21","DULOXETINE"
"02451921","marketed","JAMP-DULOXETINE","JAMP-DULOXETINE (DULOXETINE (DULOXETINE HYDROCHLORIDE) 60MG)","N06AX21","DULOXETINE"
"02451980","marketed","APO-TENOFOVIR","APO-TENOFOVIR (TENOFOVIR DISOPROXIL FUMARATE 300MG)","J05AF07","TENOFOVIR DISOPROXIL"
"02452006","marketed","APO-EMTRICITABINE-TENOFOVIR","APO-EMTRICITABINE-TENOFOVIR (TENOFOVIR DISOPROXIL FUMARATE 300MG, EMTRICITABINE 200MG)","J05AR03;J05AR03","TENOFOVIR DISOPROXIL AND EMTRICITABINE;TENOFOVIR DISOPROXIL AND EMTRICITABINE"
"02452073","marketed","RAN-TADALAFIL","RAN-TADALAFIL (TADALAFIL 5MG)","G04BE08","TADALAFIL"
"02452111","marketed","RAN-TADALAFIL","RAN-TADALAFIL (TADALAFIL 20MG)","G04BE08","TADALAFIL"
"02452219","marketed","JADENU","JADENU (DEFERASIROX 90MG)","V03AC03","DEFERASIROX"
"02452227","marketed","JADENU","JADENU (DEFERASIROX 180MG)","V03AC03","DEFERASIROX"
"02452235","marketed","JADENU","JADENU (DEFERASIROX 360MG)","V03AC03","DEFERASIROX"
"02452243","marketed","MAR-TADALAFIL","MAR-TADALAFIL (TADALAFIL 20MG)","G04BE08","TADALAFIL"
"02452251","marketed","MAR-TADALAFIL","MAR-TADALAFIL (TADALAFIL 10MG)","G04BE08","TADALAFIL"
"02452278","marketed","MAR-TADALAFIL","MAR-TADALAFIL (TADALAFIL 5MG)","G04BE08","TADALAFIL"
"02452308","marketed","JAMP-AZITHROMYCIN","JAMP-AZITHROMYCIN (AZITHROMYCIN (AZITHROMYCIN DIHYDRATE) 250MG)","J01FA10","AZITHROMYCIN"
"02452316","approved","JAMP-AZITHROMYCIN","JAMP-AZITHROMYCIN (AZITHROMYCIN (AZITHROMYCIN DIHYDRATE) 600MG)","J01FA10","AZITHROMYCIN"
"02452332","approved","MAR-AZITHROMYCIN","MAR-AZITHROMYCIN (AZITHROMYCIN (AZITHROMYCIN DIHYDRATE) 600MG)","J01FA10","AZITHROMYCIN"
"02452340","marketed","COTELLIC","COTELLIC (COBIMETINIB (COBIMETINIB FUMARATE) 20MG)","L01EE02","COBIMETINIB"
"02452359","marketed","NAT-GRANISETRON","NAT-GRANISETRON (GRANISETRON (GRANISETRON HYDROCHLORIDE) 1MG)","A04AA02","GRANISETRON"
"02452367","marketed","APO-FELODIPINE","APO-FELODIPINE (FELODIPINE 2.5MG)","C08CA02","FELODIPINE"
"02452375","marketed","APO-FELODIPINE","APO-FELODIPINE (FELODIPINE 5MG)","C08CA02","FELODIPINE"
"02452383","marketed","APO-FELODIPINE","APO-FELODIPINE (FELODIPINE 10MG)","C08CA02","FELODIPINE"
"02452391","approved","RIVA-SILDENAFIL","RIVA-SILDENAFIL (SILDENAFIL (SILDENAFIL CITRATE) 25MG)","G04BE03","SILDENAFIL"
"02452405","approved","RIVA-SILDENAFIL","RIVA-SILDENAFIL (SILDENAFIL (SILDENAFIL CITRATE) 50MG)","G04BE03","SILDENAFIL"
"02452413","marketed","RIVA-SILDENAFIL","RIVA-SILDENAFIL (SILDENAFIL (SILDENAFIL CITRATE) 100MG)","G04BE03","SILDENAFIL"
"02452421","approved","IRINOTECAN HYDROCHLORIDE INJECTION, USP","IRINOTECAN HYDROCHLORIDE INJECTION, USP (IRINOTECAN HYDROCHLORIDE (IRINOTECAN HYDROCHLORIDE TRIHYDRATE) 20MG)","L01CE02","IRINOTECAN"
"02452456","marketed","BORTEZOMIB FOR INJECTION","BORTEZOMIB FOR INJECTION (BORTEZOMIB (BORTEZOMIB MANNITOL BORONIC ESTER) 3.5MG)","L01XG01","BORTEZOMIB"
"02452480","marketed","PRIVA-TADALAFIL","PRIVA-TADALAFIL (TADALAFIL 5MG)","G04BE08","TADALAFIL"
"02452499","marketed","PRIVA-TADALAFIL","PRIVA-TADALAFIL (TADALAFIL 10MG)","G04BE08","TADALAFIL"
"02452502","marketed","PRIVA-TADALAFIL","PRIVA-TADALAFIL (TADALAFIL 20MG)","G04BE08","TADALAFIL"
"02452510","marketed","APO-DARIFENACIN","APO-DARIFENACIN (DARIFENACIN (DARIFENACIN HYDROBROMIDE) 7.5MG)","G04BD10","DARIFENACIN"
"02452529","marketed","APO-DARIFENACIN","APO-DARIFENACIN (DARIFENACIN (DARIFENACIN HYDROBROMIDE) 15MG)","G04BD10","DARIFENACIN"
"02452545","approved","VPI-PIPERACILLIN AND TAZOBACTAM FOR INJECTION","VPI-PIPERACILLIN AND TAZOBACTAM FOR INJECTION (PIPERACILLIN (PIPERACILLIN SODIUM) 2G, TAZOBACTAM (TAZOBACTAM SODIUM) 0.25G)","J01CR05;J01CR05","PIPERACILLIN AND BETA-LACTAMASE INHIBITOR;PIPERACILLIN AND BETA-LACTAMASE INHIBITOR"
"02452553","approved","VPI-PIPERACILLIN AND TAZOBACTAM FOR INJECTION","VPI-PIPERACILLIN AND TAZOBACTAM FOR INJECTION (PIPERACILLIN (PIPERACILLIN SODIUM) 3G, TAZOBACTAM (TAZOBACTAM SODIUM) 0.375G)","J01CR05;J01CR05","PIPERACILLIN AND BETA-LACTAMASE INHIBITOR;PIPERACILLIN AND BETA-LACTAMASE INHIBITOR"
"02452561","approved","VPI-PIPERACILLIN AND TAZOBACTAM FOR INJECTION","VPI-PIPERACILLIN AND TAZOBACTAM FOR INJECTION (PIPERACILLIN (PIPERACILLIN SODIUM) 4G, TAZOBACTAM (TAZOBACTAM SODIUM) 0.5G)","J01CR05;J01CR05","PIPERACILLIN AND BETA-LACTAMASE INHIBITOR;PIPERACILLIN AND BETA-LACTAMASE INHIBITOR"
"02452588","approved","VPI-PIPERACILLIN AND TAZOBACTAM FOR INJECTION","VPI-PIPERACILLIN AND TAZOBACTAM FOR INJECTION (PIPERACILLIN (PIPERACILLIN SODIUM) 12G, TAZOBACTAM (TAZOBACTAM SODIUM) 1.5G)","J01CR05;J01CR05","PIPERACILLIN AND BETA-LACTAMASE INHIBITOR;PIPERACILLIN AND BETA-LACTAMASE INHIBITOR"
"02452596","approved","VPI-PIPERACILLIN AND TAZOBACTAM FOR INJECTION","VPI-PIPERACILLIN AND TAZOBACTAM FOR INJECTION (PIPERACILLIN (PIPERACILLIN SODIUM) 36G, TAZOBACTAM (TAZOBACTAM SODIUM) 4.5G)","J01CR05;J01CR05","PIPERACILLIN AND BETA-LACTAMASE INHIBITOR;PIPERACILLIN AND BETA-LACTAMASE INHIBITOR"
"02452634","marketed","MYLAN-TENOFOVIR DISOPROXIL","MYLAN-TENOFOVIR DISOPROXIL (TENOFOVIR DISOPROXIL FUMARATE 300MG)","J05AF07","TENOFOVIR DISOPROXIL"
"02452642","marketed","ADAPTASUN SUN CARE LOTION SEA AND TROPICS BODY / LAIT DE SOIN SOLAIRE MER ET TROPIQUES CORPS SPF/FPS 35","ADAPTASUN SUN CARE LOTION SEA AND TROPICS BODY / LAIT DE SOIN SOLAIRE MER ET TROPIQUES CORPS SPF/FPS 35 (AVOBENZONE 2.5%, HOMOSALATE 3%, OCTINOXATE 7.5%)","D02BA30;D02BA30;D02B","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTEC"
"02452650","marketed","DULOXETINE","DULOXETINE (DULOXETINE (DULOXETINE HYDROCHLORIDE) 30MG)","N06AX21","DULOXETINE"
"02452669","marketed","DULOXETINE","DULOXETINE (DULOXETINE (DULOXETINE HYDROCHLORIDE) 60MG)","N06AX21","DULOXETINE"
"02452693","marketed","APO-CINACALCET","APO-CINACALCET (CINACALCET (CINACALCET HYDROCHLORIDE) 30MG)","H05BX01","CINACALCET"
"02452707","marketed","APO-CINACALCET","APO-CINACALCET (CINACALCET (CINACALCET HYDROCHLORIDE) 60MG)","H05BX01","CINACALCET"
"02452715","marketed","APO-CINACALCET","APO-CINACALCET (CINACALCET (CINACALCET HYDROCHLORIDE) 90MG)","H05BX01","CINACALCET"
"02452731","marketed","APO-METHYLPHENIDATE ER","APO-METHYLPHENIDATE ER (METHYLPHENIDATE HYDROCHLORIDE 18MG)","N06BA04","METHYLPHENIDATE"
"02452758","marketed","APO-METHYLPHENIDATE ER","APO-METHYLPHENIDATE ER (METHYLPHENIDATE HYDROCHLORIDE 27MG)","N06BA04","METHYLPHENIDATE"
"02452766","marketed","APO-METHYLPHENIDATE ER","APO-METHYLPHENIDATE ER (METHYLPHENIDATE HYDROCHLORIDE 36MG)","N06BA04","METHYLPHENIDATE"
"02452804","marketed","COPPERTONE LOTION SUNSCREEN SPF 30 SPORT","COPPERTONE LOTION SUNSCREEN SPF 30 SPORT (AVOBENZONE 3%, HOMOSALATE 8%, OCTOCRYLENE 6%, OCTISALATE 4.5%)","D02BA30;D02BA30;D02B","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTEC"
"02452812","marketed","DECONGESTANT NASAL SPRAY","DECONGESTANT NASAL SPRAY (XYLOMETAZOLINE HYDROCHLORIDE 0.1%)","R01AA07","XYLOMETAZOLINE"
"02452839","marketed","AURO-VENLAFAXINE XR","AURO-VENLAFAXINE XR (VENLAFAXINE (VENLAFAXINE HYDROCHLORIDE) 37.5MG)","N06AX16","VENLAFAXINE"
"02452847","marketed","AURO-VENLAFAXINE XR","AURO-VENLAFAXINE XR (VENLAFAXINE (VENLAFAXINE HYDROCHLORIDE) 75MG)","N06AX16","VENLAFAXINE"
"02452855","marketed","AURO-VENLAFAXINE XR","AURO-VENLAFAXINE XR (VENLAFAXINE (VENLAFAXINE HYDROCHLORIDE) 150MG)","N06AX16","VENLAFAXINE"
"02452863","marketed","NASAL DECONGESTANT SPRAY WITH MOISTURIZERS","NASAL DECONGESTANT SPRAY WITH MOISTURIZERS (XYLOMETAZOLINE HYDROCHLORIDE 0.1%)","R01AA07","XYLOMETAZOLINE"
"02452928","approved","XTORO","XTORO (FINAFLOXACIN 0.3%)","S02AA","ANTIINFECTIVES"
"02452936","marketed","BRIVLERA","BRIVLERA (BRIVARACETAM 10MG)","N03AX23","BRIVARACETAM"
"02452944","marketed","BRIVLERA","BRIVLERA (BRIVARACETAM 25MG)","N03AX23","BRIVARACETAM"
"02452952","marketed","BRIVLERA","BRIVLERA (BRIVARACETAM 50MG)","N03AX23","BRIVARACETAM"
"02452960","marketed","BRIVLERA","BRIVLERA (BRIVARACETAM 75MG)","N03AX23","BRIVARACETAM"
"02452979","marketed","BRIVLERA","BRIVLERA (BRIVARACETAM 100MG)","N03AX23","BRIVARACETAM"
"02452987","marketed","BRIVLERA","BRIVLERA (BRIVARACETAM 10MG)","N03AX23","BRIVARACETAM"
"02452995","marketed","BRIVLERA","BRIVLERA (BRIVARACETAM 10MG)","N03AX23","BRIVARACETAM"
"02453010","approved","CANEAL PERITONEAL DIALYSIS SOLUTION","CANEAL PERITONEAL DIALYSIS SOLUTION (DEXTROSE 1.5G, MAGNESIUM CHLORIDE 15.2MG, CALCIUM CHLORIDE 25.7MG, SODIUM CHLORIDE 567MG, SODIUM LACTATE 392MG)","B05ZA;B05ZA;B05ZA;B0","HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIALYTICS, CONCENTRATES;HEMODIAL"
