"DIN","status","name","new name","description","new description","atc_number(s)","atc(s)","indicator(s)"
"02310538","marketed","RAN-RAMIPRIL","TARO-RAMIPRIL","RAN-RAMIPRIL (RAMIPRIL 5MG)","TARO-RAMIPRIL (RAMIPRIL 5MG)","C09AA05","RAMIPRIL","Hypertension;Ischemic Heart disease"
"02310546","marketed","RAN-RAMIPRIL","TARO-RAMIPRIL","RAN-RAMIPRIL (RAMIPRIL 10MG)","TARO-RAMIPRIL (RAMIPRIL 10MG)","C09AA05","RAMIPRIL","Hypertension;Ischemic Heart disease"
"02310554","cancelled","CHIROGESIC","","CHIROGESIC (DIETHYLAMINE SALICYLATE 100MG)","","M02AC","PREPARATIONS WITH SALICYLIC ACID DERIVATIVES",""
"02310562","cancelled","ARBONNE WATER-RESISTANT SUNSCREEN SPF 30","","ARBONNE WATER-RESISTANT SUNSCREEN SPF 30 (AVOBENZONE 2.0%, OCTOCRYLENE 6.0%, OXYBENZONE 6.0%, OCTISALATE 5.0%, OCTINOXATE 7.5%)","ARBONNE WATER-RESISTANT SUNSCREEN SPF 30 (OXYBENZONE 6.0%, AVOBENZONE 2.0%, OCTOCRYLENE 6.0%, OCTISALATE 5.0%, OCTINOXATE 7.5%)","D02BA30;D02BA30;D02B","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTEC",""
"02310570","cancelled","PARISMIST DAY CREAM","","PARISMIST DAY CREAM (TITANIUM DIOXIDE 0.5%, OXYBENZONE 4.5%, OCTINOXATE 7.5%)","PARISMIST DAY CREAM (OXYBENZONE 4.5%, TITANIUM DIOXIDE 0.5%, OCTINOXATE 7.5%)","D02BA30;D02BA30;D02B","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTEC",""
"02310597","cancelled","INHIBIDEX NAF HAND SANITIZER","","INHIBIDEX NAF HAND SANITIZER (BENZALKONIUM CHLORIDE 0.1%)","","D08AJ01","BENZALKONIUM",""
"02310600","marketed","PRO-AZITHROMYCINE","","PRO-AZITHROMYCINE (AZITHROMYCIN (AZITHROMYCIN MONOHYDRATE HEMIETHANOLATE) 250MG)","","J01FA10","AZITHROMYCIN",""
"02310686","marketed","PRO-FLUCONAZOLE","","PRO-FLUCONAZOLE (FLUCONAZOLE 100MG)","","J02AC01","FLUCONAZOLE",""
"02310694","cancelled","PRO-FLUCONAZOLE","","PRO-FLUCONAZOLE (FLUCONAZOLE 150MG)","","J02AC01","FLUCONAZOLE",""
"02310805","marketed","PMS-RABEPRAZOLE EC","","PMS-RABEPRAZOLE EC (RABEPRAZOLE SODIUM 10MG)","","A02BC04","RABEPRAZOLE",""
"02310813","marketed","PMS-RABEPRAZOLE EC","","PMS-RABEPRAZOLE EC (RABEPRAZOLE SODIUM 20MG)","","A02BC04","RABEPRAZOLE",""
"02310821","cancelled","MOISTURIZING LIP BALM","","MOISTURIZING LIP BALM (OXYBENZONE 2.5%, OCTINOXATE 7.5%)","","D02BA30;D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION",""
"02310848","cancelled","SPF 15 FPS LIP BALM","","SPF 15 FPS LIP BALM (PADIMATE O 6.6%, OXYBENZONE 2.5%)","SPF 15 FPS LIP BALM (OXYBENZONE 2.5%, PADIMATE O 6.6%)","D02BA30;D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION",""
"02310856","cancelled","ALL SEASONS LIP BALM","","ALL SEASONS LIP BALM (MERADIMATE 4.8%, OXYBENZONE 5.2%, OCTISALATE 5.0%, HOMOSALATE 4.5%, OCTINOXATE 7.4%)","ALL SEASONS LIP BALM (OXYBENZONE 5.2%, HOMOSALATE 4.5%, OCTISALATE 5.0%, OCTINOXATE 7.4%, MERADIMATE 4.8%)","D02BA30;D02BA30;D02B","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTEC",""
"02310864","cancelled","FRUIT FLAVOURS LIP BALM","","FRUIT FLAVOURS LIP BALM (OXYBENZONE 2.5%, OCTINOXATE 7.5%)","","D02BA30;D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION",""
"02310872","cancelled","CLINIQUE COMFORT ON CALL","","CLINIQUE COMFORT ON CALL (DIMETHICONE 1%)","","D02AA","SILICONE PRODUCTS",""
"02310880","dormant","EXTRA STRENGTH IBUPROFEN LIQUID FILLED CAPSULES","","EXTRA STRENGTH IBUPROFEN LIQUID FILLED CAPSULES (IBUPROFEN 400MG)","","M01AE01","IBUPROFEN",""
"02310899","marketed","ACT ATORVASTATIN","TEVA-ATORVASTATIN","ACT ATORVASTATIN (ATORVASTATIN (ATORVASTATIN CALCIUM) 10MG)","TEVA-ATORVASTATIN (ATORVASTATIN (ATORVASTATIN CALCIUM) 10MG)","C10AA05","ATORVASTATIN","Hypertension;Ischemic Heart disease"
"02310902","marketed","ACT ATORVASTATIN","TEVA-ATORVASTATIN","ACT ATORVASTATIN (ATORVASTATIN (ATORVASTATIN CALCIUM) 20MG)","TEVA-ATORVASTATIN (ATORVASTATIN (ATORVASTATIN CALCIUM) 20MG)","C10AA05","ATORVASTATIN","Hypertension;Ischemic Heart disease"
"02310910","marketed","ACT ATORVASTATIN","TEVA-ATORVASTATIN","ACT ATORVASTATIN (ATORVASTATIN (ATORVASTATIN CALCIUM) 40MG)","TEVA-ATORVASTATIN (ATORVASTATIN (ATORVASTATIN CALCIUM) 40MG)","C10AA05","ATORVASTATIN","Hypertension;Ischemic Heart disease"
"02310929","marketed","ACT ATORVASTATIN","TEVA-ATORVASTATIN","ACT ATORVASTATIN (ATORVASTATIN (ATORVASTATIN CALCIUM) 80MG)","TEVA-ATORVASTATIN (ATORVASTATIN (ATORVASTATIN CALCIUM) 80MG)","C10AA05","ATORVASTATIN","Hypertension;Ischemic Heart disease"
"02310945","cancelled","PRO-NAPROXEN EC - 375","","PRO-NAPROXEN EC - 375 (NAPROXEN 375MG)","","M01AE02","NAPROXEN",""
"02310953","marketed","PRO-NAPROXEN EC - 500","PRO-NAPROXEN EC","PRO-NAPROXEN EC - 500 (NAPROXEN 500MG)","PRO-NAPROXEN EC (NAPROXEN 500MG)","M01AE02","NAPROXEN",""
"02310961","marketed","PRO-LISINOPRIL - 5","","PRO-LISINOPRIL - 5 (LISINOPRIL 5MG)","","C09AA03","LISINOPRIL","Hypertension;Ischemic Heart disease"
"02310988","marketed","PRO-LISINOPRIL - 10","","PRO-LISINOPRIL - 10 (LISINOPRIL 10MG)","","C09AA03","LISINOPRIL","Hypertension;Ischemic Heart disease"
"02310996","marketed","PRO-LISINOPRIL - 20","","PRO-LISINOPRIL - 20 (LISINOPRIL 20MG)","","C09AA03","LISINOPRIL","Hypertension;Ischemic Heart disease"
"02311011","cancelled","PRO-HYDROXYQUINE - 200","","PRO-HYDROXYQUINE - 200 (HYDROXYCHLOROQUINE SULFATE 200MG)","","P01BA02","HYDROXYCHLOROQUINE",""
"02311038","marketed","PRO-BICALUTAMIDE - 50","","PRO-BICALUTAMIDE - 50 (BICALUTAMIDE 50MG)","","L02BB03","BICALUTAMIDE",""
"02311054","marketed","MYCAMINE","","MYCAMINE (MICAFUNGIN SODIUM 100MG)","","J02AX05","MICAFUNGIN",""
"02311062","cancelled","PRO-CEFADROXIL - 500","","PRO-CEFADROXIL - 500 (CEFADROXIL 500MG)","","J01DB05","CEFADROXIL",""
"02311143","cancelled","MAC STUDIO SCULPT SPF 15 FOUNDATION","","MAC STUDIO SCULPT SPF 15 FOUNDATION (TITANIUM DIOXIDE 2.0%, OCTINOXATE 7.0%)","","D02BA30;D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION",""
"02311178","cancelled","PRO-LEVOCARB - 100/25","","PRO-LEVOCARB - 100/25 (CARBIDOPA 25MG, LEVODOPA 100MG)","","N04BA02;N04BA02","LEVODOPA AND DECARBOXYLASE INHIBITOR;LEVODOPA AND DECARBOXYLASE INHIBITOR","Parkinsonism"
"02311194","cancelled","RATIO-RAMIPRIL","","RATIO-RAMIPRIL (RAMIPRIL 15MG)","","C09AA05","RAMIPRIL","Hypertension;Ischemic Heart disease"
"02311208","cancelled","EXTRA STRENGTH ACETAMINOPHEN","","EXTRA STRENGTH ACETAMINOPHEN (ACETAMINOPHEN 500MG)","","N02BE01","ACETAMINOPHEN (PARACETAMOL)",""
"02311216","marketed","PRO-QUININE - 200","","PRO-QUININE - 200 (QUININE SULFATE 200MG)","","P01BC01","QUININE",""
"02311224","marketed","PRO-QUININE - 300","","PRO-QUININE - 300 (QUININE SULFATE 300MG)","","P01BC01","QUININE",""
"02311267","cancelled","PRO-DEXAMETHASONE - 4","","PRO-DEXAMETHASONE - 4 (DEXAMETHASONE 4MG)","","H02AB02","DEXAMETHASONE",""
"02311283","cancelled","RATIO-RIVASTIGMINE","","RATIO-RIVASTIGMINE (RIVASTIGMINE (RIVASTIGMINE HYDROGEN TARTRATE) 1.5MG)","","N06DA03","RIVASTIGMINE",""
"02311291","cancelled","RATIO-RIVASTIGMINE","","RATIO-RIVASTIGMINE (RIVASTIGMINE (RIVASTIGMINE HYDROGEN TARTRATE) 3MG)","","N06DA03","RIVASTIGMINE",""
"02311305","cancelled","RATIO-RIVASTIGMINE","","RATIO-RIVASTIGMINE (RIVASTIGMINE (RIVASTIGMINE HYDROGEN TARTRATE) 4.5MG)","","N06DA03","RIVASTIGMINE",""
"02311313","cancelled","RATIO-RIVASTIGMINE","","RATIO-RIVASTIGMINE (RIVASTIGMINE (RIVASTIGMINE HYDROGEN TARTRATE) 6MG)","","N06DA03","RIVASTIGMINE",""
"02311321","marketed","PRO-ISMN - 60","","PRO-ISMN - 60 (ISOSORBIDE-5-MONONITRATE 60MG)","","C01DA14","ISOSORBIDE MONONITRATE","Ischemic Heart disease"
"02311372","marketed","PRO-LEVETIRACETAM - 250","","PRO-LEVETIRACETAM - 250 (LEVETIRACETAM 250MG)","","N03AX14","LEVETIRACETAM",""
"02311380","marketed","PRO-LEVETIRACETAM - 500","","PRO-LEVETIRACETAM - 500 (LEVETIRACETAM 500MG)","","N03AX14","LEVETIRACETAM",""
"02311399","marketed","PRO-LEVETIRACETAM - 750","","PRO-LEVETIRACETAM - 750 (LEVETIRACETAM 750MG)","","N03AX14","LEVETIRACETAM",""
"02311402","marketed","PRO-ENALAPRIL - 2.5","","PRO-ENALAPRIL - 2.5 (ENALAPRIL MALEATE 2.5MG)","","C09AA02","ENALAPRIL","Hypertension;Ischemic Heart disease"
"02311410","marketed","PRO-ENALAPRIL - 5","","PRO-ENALAPRIL - 5 (ENALAPRIL MALEATE 5MG)","","C09AA02","ENALAPRIL","Hypertension;Ischemic Heart disease"
"02311429","marketed","PRO-ENALAPRIL - 10","","PRO-ENALAPRIL - 10 (ENALAPRIL MALEATE 10MG)","","C09AA02","ENALAPRIL","Hypertension;Ischemic Heart disease"
"02311437","marketed","PRO-ENALAPRIL - 20","","PRO-ENALAPRIL - 20 (ENALAPRIL MALEATE 20MG)","","C09AA02","ENALAPRIL","Hypertension;Ischemic Heart disease"
"02311453","cancelled","PRO-CEFUROXIME - 500","","PRO-CEFUROXIME - 500 (CEFUROXIME (CEFUROXIME AXETIL) 500MG)","","J01DC02","CEFUROXIME",""
"02311461","cancelled","PRO-DICLO RAPIDE - 50","","PRO-DICLO RAPIDE - 50 (DICLOFENAC POTASSIUM 50MG)","","M01AB05","DICLOFENAC",""
"02311488","cancelled","INFINITE BRONZE EASY FACE BRONZER BRUSH WITH 12 SPF SUNSCREEN","","INFINITE BRONZE EASY FACE BRONZER BRUSH WITH 12 SPF SUNSCREEN (OCTINOXATE 2.0%)","","D02BA02","OCTYL METHOXYCINNAMATE",""
"02311496","marketed","PRO-AAS EC - 80","","PRO-AAS EC - 80 (ACETYLSALICYLIC ACID 80MG)","","N02BA01","ACETYLSALICYLIC ACID","Ischemic Heart disease;Stroke"
"02311518","marketed","PRO-AAS - 80 (CROQUABLE)","","PRO-AAS - 80 (CROQUABLE) (ACETYLSALICYLIC ACID 80MG)","","N02BA01","ACETYLSALICYLIC ACID","Ischemic Heart disease;Stroke"
"02311534","cancelled","ANTI-BACTERIAL MOISTURIZING HAND LOTION","","ANTI-BACTERIAL MOISTURIZING HAND LOTION (TRICLOSAN 0.3%)","","D08AE04","TRICLOSAN",""
"02311542","cancelled","ANTI-BACTERIAL MOISTURIZING HAND SOAP","","ANTI-BACTERIAL MOISTURIZING HAND SOAP (TRICLOSAN 0.3%)","","D08AE04","TRICLOSAN",""
"02311550","cancelled","ANTI-BACTERIAL GENTLE FOAMING HAND SOAP","","ANTI-BACTERIAL GENTLE FOAMING HAND SOAP (TRICLOSAN 0.3%)","","D08AE04","TRICLOSAN",""
"02311593","marketed","PRO-CLONAZEPAM","","PRO-CLONAZEPAM (CLONAZEPAM 0.5MG)","","N03AE01","CLONAZEPAM",""
"02311607","marketed","PRO-CLONAZEPAM","","PRO-CLONAZEPAM (CLONAZEPAM 1MG)","","N03AE01","CLONAZEPAM",""
"02311615","marketed","PRO-CLONAZEPAM","","PRO-CLONAZEPAM (CLONAZEPAM 2MG)","","N03AE01","CLONAZEPAM",""
"02311631","cancelled","POSITIVELY AGELESS SUNSCREEN LOTION SPF 60 FACE","","POSITIVELY AGELESS SUNSCREEN LOTION SPF 60 FACE (AVOBENZONE 3.0%, OCTOCRYLENE 2.8%, OXYBENZONE 6.0%, OCTISALATE 5.0%, HOMOSALATE 15.0%)","POSITIVELY AGELESS SUNSCREEN LOTION SPF 60 FACE (OXYBENZONE 6.0%, AVOBENZONE 3.0%, HOMOSALATE 15.0%, OCTOCRYLENE 2.8%, OCTISALATE 5.0%)","D02BA30;D02BA30;D02B","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTEC",""
"02311658","marketed","ATACAND","","ATACAND (CANDESARTAN CILEXETIL 32MG)","","C09CA06","CANDESARTAN","Hypertension;Ischemic Heart disease"
"02311690","marketed","CANESORAL","","CANESORAL (FLUCONAZOLE 150MG)","","J02AC01","FLUCONAZOLE",""
"02311704","cancelled","RATIO-QUETIAPINE","","RATIO-QUETIAPINE (QUETIAPINE (QUETIAPINE FUMARATE) 25MG)","","N05AH04","QUETIAPINE",""
"02311712","cancelled","RATIO-QUETIAPINE","","RATIO-QUETIAPINE (QUETIAPINE (QUETIAPINE FUMARATE) 100MG)","","N05AH04","QUETIAPINE",""
"02311720","marketed","CANESTEN EXTERNAL CREAM","","CANESTEN EXTERNAL CREAM (CLOTRIMAZOLE 1%)","","G01AF02","CLOTRIMAZOLE",""
"02311739","cancelled","CANESORAL COMBI-PAK","CANESORAL COMBI","CANESORAL COMBI-PAK (CLOTRIMAZOLE 1%, FLUCONAZOLE 150MG)","CANESORAL COMBI (FLUCONAZOLE 150MG, CLOTRIMAZOLE 1%)","J02AC01;J02AC01","FLUCONAZOLE;FLUCONAZOLE",""
"02311747","cancelled","RATIO-QUETIAPINE","","RATIO-QUETIAPINE (QUETIAPINE (QUETIAPINE FUMARATE) 200MG)","","N05AH04","QUETIAPINE",""
"02311755","cancelled","RATIO-QUETIAPINE","","RATIO-QUETIAPINE (QUETIAPINE (QUETIAPINE FUMARATE) 300MG)","","N05AH04","QUETIAPINE",""
"02311763","cancelled","DEEP WRINKLE MOISTURE","","DEEP WRINKLE MOISTURE (AVOBENZONE 2.0%, OCTOCRYLENE 1.5%, OXYBENZONE 2.0%, OCTISALATE 4.0%, HOMOSALATE 7.0%)","DEEP WRINKLE MOISTURE (OXYBENZONE 2.0%, AVOBENZONE 2.0%, HOMOSALATE 7.0%, OCTOCRYLENE 1.5%, OCTISALATE 4.0%)","D02BA30;D02BA30;D02B","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTEC",""
"02311798","marketed","SODIUM CHLORIDE INJECTION USP","","SODIUM CHLORIDE INJECTION USP (SODIUM CHLORIDE 0.9%)","","B05XA03","SODIUM CHLORIDE",""
"02311844","dormant","ANTIBIOTIC CREAM","","ANTIBIOTIC CREAM (POLYMYXIN B SULFATE 10000UNIT, GRAMICIDIN 0.25MG)","","D06AX30;D06AX30","COMBINATIONS OF ANTIBIOTICS;COMBINATIONS OF ANTIBIOTICS",""
"02311887","cancelled","MARCAINE","","MARCAINE (BUPIVACAINE HYDROCHLORIDE 5MG, EPINEPHRINE BITARTRATE 0.0091MG)","","N01BB51;N01BB51","BUPIVACAINE, COMBINATIONS;BUPIVACAINE, COMBINATIONS",""
"02311925","marketed","TEVA-FENTANYL","","TEVA-FENTANYL (FENTANYL 12μG)","TEVA-FENTANYL (FENTANYL 12MCG)","N02AB03","FENTANYL",""
"02311933","cancelled","WITH 6 SPF SUNSCREEN UVA/UVB PROTECTION SELF TANNING ESSENTIAL BRONZE MILK","","WITH 6 SPF SUNSCREEN UVA/UVB PROTECTION SELF TANNING ESSENTIAL BRONZE MILK (AVOBENZONE 2.0%, OCTINOXATE 6.0%)","","D02BA30;D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION",""
"02311941","cancelled","LIP PLUMPING TREATMENT","","LIP PLUMPING TREATMENT (OXYBENZONE 3.0%, OCTINOXATE 7.5%)","","D02BA30;D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION",""
"02311968","marketed","OLANZAPINE","","OLANZAPINE (OLANZAPINE 2.5MG)","","N05AH03","OLANZAPINE",""
"02311976","marketed","OLANZAPINE","","OLANZAPINE (OLANZAPINE 5MG)","","N05AH03","OLANZAPINE",""
"02311984","marketed","OLANZAPINE","","OLANZAPINE (OLANZAPINE 7.5MG)","","N05AH03","OLANZAPINE",""
"02311992","marketed","OLANZAPINE","","OLANZAPINE (OLANZAPINE 10MG)","","N05AH03","OLANZAPINE",""
"02312018","marketed","OLANZAPINE","","OLANZAPINE (OLANZAPINE 15MG)","","N05AH03","OLANZAPINE",""
"02312050","cancelled","PRO-PIOGLITAZONE","","PRO-PIOGLITAZONE (PIOGLITAZONE (PIOGLITAZONE HYDROCHLORIDE) 15MG)","","A10BG03","PIOGLITAZONE","Diabetes"
"02312069","cancelled","PRO-PIOGLITAZONE","","PRO-PIOGLITAZONE (PIOGLITAZONE (PIOGLITAZONE HYDROCHLORIDE) 30MG)","","A10BG03","PIOGLITAZONE","Diabetes"
"02312077","cancelled","PRO-PIOGLITAZONE","","PRO-PIOGLITAZONE (PIOGLITAZONE (PIOGLITAZONE HYDROCHLORIDE) 45MG)","","A10BG03","PIOGLITAZONE","Diabetes"
"02312085","marketed","PMS-TOPIRAMATE","","PMS-TOPIRAMATE (TOPIRAMATE 50MG)","","N03AX11","TOPIRAMATE",""
"02312093","dormant","EPIRUBICIN HYDROCHLORIDE INJECTION","","EPIRUBICIN HYDROCHLORIDE INJECTION (EPIRUBICIN HYDROCHLORIDE 2.0MG)","","L01DB03","EPIRUBICIN",""
"02312107","cancelled","VICKS CUSTOM CARE BODY ACHES","","VICKS CUSTOM CARE BODY ACHES (ACETAMINOPHEN 650MG)","","N02BE01","ACETAMINOPHEN (PARACETAMOL)",""
"02312115","cancelled","VICKS CUSTOM CARE COUGH & COLD PM","","VICKS CUSTOM CARE COUGH & COLD PM (CHLORPHENIRAMINE MALEATE 4MG, ACETAMINOPHEN 650MG, DEXTROMETHORPHAN HYDROBROMIDE 30MG)","VICKS CUSTOM CARE COUGH & COLD PM (ACETAMINOPHEN 650MG, ACETAMINOPHEN 650MG, DEXTROMETHORPHAN HYDROBROMIDE 30MG, DEXTROMETHORPHAN HYDROBROMIDE 30MG, CHLORPHENIRAMINE MALEATE 4MG, CHLORPHENIRAMINE MALEATE 4MG)","N02BE51;N02BE51;N02B","ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS;ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS;ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS;ACE",""
"02312131","cancelled","PRAIRIE OXYGEN USP","","PRAIRIE OXYGEN USP (OXYGEN 99%)","","V03AN01","OXYGEN",""
"02312158","cancelled","ULTIMATE SPORT SUNSCREEN","","ULTIMATE SPORT SUNSCREEN (AVOBENZONE 3.00%, OCTOCRYLENE 4.00%, OXYBENZONE 5.00%, OCTISALATE 5.00%, HOMOSALATE 10.00%)","ULTIMATE SPORT SUNSCREEN (OXYBENZONE 5.00%, AVOBENZONE 3.00%, HOMOSALATE 10.00%, OCTOCRYLENE 4.00%, OCTISALATE 5.00%)","D02BA30;D02BA30;D02B","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTEC",""
"02312190","cancelled","SPF FPS 15 MENTHA LIP BALM STICK","","SPF FPS 15 MENTHA LIP BALM STICK (ZINC OXIDE 6.3%, OCTINOXATE 7.5%)","","D02BA30;D02BA30","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION",""
"02312204","cancelled","FIRMING MOISTURE","","FIRMING MOISTURE (ZINC OXIDE 1.9%, OCTISALATE 5.0%, OCTINOXATE 7.5%)","","D02BA30;D02BA30;D02B","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTEC",""
"02312247","cancelled","RAN-ONDANSETRON","","RAN-ONDANSETRON (ONDANSETRON (ONDANSETRON HYDROCHLORIDE) 4MG)","","A04AA01","ONDANSETRON",""
"02312255","cancelled","RAN-ONDANSETRON","","RAN-ONDANSETRON (ONDANSETRON (ONDANSETRON HYDROCHLORIDE) 8MG)","","A04AA01","ONDANSETRON",""
"02312263","marketed","CESAMET","","CESAMET (NABILONE 0.25MG)","","A04AD11","NABILONE",""
"02312298","cancelled","TEVA-RALOXIFENE","","TEVA-RALOXIFENE (RALOXIFENE HYDROCHLORIDE 60MG)","","G03XC01","RALOXIFENE","Osteoporosis"
"02312301","marketed","KALETRA","","KALETRA (RITONAVIR 25MG, LOPINAVIR 100MG)","","J05AR10;J05AR10","LOPINAVIR AND RITONAVIR;LOPINAVIR AND RITONAVIR",""
"02312328","cancelled","ANTISEPTIC HAND GEL","","ANTISEPTIC HAND GEL (BENZALKONIUM CHLORIDE 0.12%)","","D08AJ01","BENZALKONIUM",""
"02312336","marketed","TEVA-CITALOPRAM","","TEVA-CITALOPRAM (CITALOPRAM (CITALOPRAM HYDROBROMIDE) 10MG)","","N06AB04","CITALOPRAM","Depression"
"02312344","cancelled","AQUALIA THERMAL UV","","AQUALIA THERMAL UV (AVOBENZONE 3.5%, TEREPHTHALYLIDENE DICAMPHOR SULFONIC ACID 1.5%, OCTOCRYLENE 7.0%, DROMETRIZOLE TRISILOXANE 3.0%)","AQUALIA THERMAL UV (TEREPHTHALYLIDENE DICAMPHOR SULFONIC ACID 1.5%, AVOBENZONE 3.5%, OCTOCRYLENE 7.0%, DROMETRIZOLE TRISILOXANE 3.0%)","D02BA30;D02BA30;D02B","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTEC",""
"02312360","dormant","ALLERGY FORMULA","","ALLERGY FORMULA (DIPHENHYDRAMINE HYDROCHLORIDE 25MG)","","R06AA02","DIPHENHYDRAMINE",""
"02312409","marketed","IRINOTECAN FOR INJECTION","","IRINOTECAN FOR INJECTION (IRINOTECAN HYDROCHLORIDE 20MG)","","L01CE02","IRINOTECAN",""
"02312433","marketed","PRADAXA","","PRADAXA (DABIGATRAN ETEXILATE (DABIGATRAN ETEXILATE MESILATE) 75MG)","","B01AE07","DABIGATRAN ETEXILATE","Stroke"
"02312441","marketed","PRADAXA","","PRADAXA (DABIGATRAN ETEXILATE (DABIGATRAN ETEXILATE MESILATE) 110MG)","","B01AE07","DABIGATRAN ETEXILATE","Stroke"
"02312484","cancelled","SUN DEFENSE SPF 15","","SUN DEFENSE SPF 15 (AVOBENZONE 3%, OXYBENZONE 6%, OCTISALATE 5%, HOMOSALATE 10%)","SUN DEFENSE SPF 15 (OXYBENZONE 6%, AVOBENZONE 3%, HOMOSALATE 10%, OCTISALATE 5%)","D02BA30;D02BA30;D02B","COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION;COMBINATIONS OF PROTEC",""
"02312530","cancelled","PRO-INDAPAMIDE","","PRO-INDAPAMIDE (INDAPAMIDE 1.25MG)","","C03BA11","INDAPAMIDE","Hypertension;Ischemic Heart disease"
"02312549","cancelled","PRO-INDAPAMIDE","","PRO-INDAPAMIDE (INDAPAMIDE 2.5MG)","","C03BA11","INDAPAMIDE","Hypertension;Ischemic Heart disease"
"02312557","marketed","BOOSTRIX-POLIO","","BOOSTRIX-POLIO (TETANUS TOXOID ADSORBED 5.0LF, DIPHTHERIA TOXOID ADSORBED 2.5LF, INACTIVATED POLIOVIRUS TYPE II 8D, PERTUSSIS TOXOID ADSORBED 8μG, FILAMENTOUS HAEMAGGLUTININ ADSORBED 8μG, PERTACTIN ADSORBED 2.5μG, INACTIVATED POLIOVIRUS TYPE I 40D, INACTIVATED POLIOVIRUS TYPE III 32D)","BOOSTRIX-POLIO (TETANUS TOXOID ADSORBED 5.0LF, DIPHTHERIA TOXOID ADSORBED 2.5LF, INACTIVATED POLIOVIRUS TYPE I 40D, INACTIVATED POLIOVIRUS TYPE II 8D, INACTIVATED POLIOVIRUS TYPE III 32D, PERTUSSIS TOXOID ADSORBED 8MCG, FILAMENTOUS HAEMAGGLUTININ ADSORBED 8MCG, PERTACTIN ADSORBED 2.5MCG)","J07CA02;J07CA02;J07C","DIPHTHERIA-PERTUSSIS-POLIOMYELITIS-TETANUS;DIPHTHERIA-PERTUSSIS-POLIOMYELITIS-TETANUS;DIPHTHERIA-PERTUSSIS-POLIOMYELITIS",""
"02312662","cancelled","REFRESH TRIAL PACK (REFRESH TEARS, REFRESH LIQUIGEL AND REFRESH ULTRA)","","REFRESH TRIAL PACK (REFRESH TEARS, REFRESH LIQUIGEL AND REFRESH ULTRA) (SODIUM CARBOXYMETHYL CELLULOSE 0.5%, SODIUM CARBOXYMETHYL CELLULOSE 1.0%)","REFRESH TRIAL PACK (REFRESH TEARS, REFRESH LIQUIGEL AND REFRESH ULTRA) (CARBOXYMETHYLCELLULOSE SODIUM 1%, CARBOXYMETHYLCELLULOSE SODIUM 0.5%)","S01XA20;S01XA20","ARTIFICIAL TEARS AND OTHER INDIFFERENT PREPARATIONS.;ARTIFICIAL TEARS AND OTHER INDIFFERENT PREPARATIONS.",""
"02312670","cancelled","PRO-LOVASTATIN","","PRO-LOVASTATIN (LOVASTATIN 20MG)","","C10AA02","LOVASTATIN","Ischemic Heart disease"
"02312689","cancelled","PRO-LOVASTATIN","","PRO-LOVASTATIN (LOVASTATIN 40MG)","","C10AA02","LOVASTATIN","Ischemic Heart disease"
