"input","match","din/npn","dtc","ahfs","database","pres","type","both"
"London Drugs Halibut Liver Oil","HALIBUT LIVER OIL","00701246","A11CB","88:04.01","drug","","word","yes"
"london insulin","Insulin","80016478","","","natural","","word",""
"loprox cream","LOPROX CREAM","02221802","D01AE14","84:04.08.20","drug","","direct","no"
"Lorazepam","LORAZEPAM","02351072","N05BA06","28:24.08","drug","","direct","no"
"losartan","LOSARTAN","02388790","C09CA01","24:32.08","drug","","direct","no"
"losec 20 mg","LOSEC 20 MG","02190915","A02BC01","56:28.36","drug","","direct","no"
"Lovenox","LOVENOX","02012472","B01AB05","20:12.04.16","drug","","direct","no"
"Low aspirin ASA 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","","word","no"
"low dose ASA 81 mg","ASA 81 MG","02244993","B01AC06","28:08.04.24","drug","","word","no"
"Lumigan","LUMIGAN","02245860","S01EE03","52:40.28","drug","YES","direct","no"
"lumigan","LUMIGAN","02245860","S01EE03","52:40.28","drug","","direct","no"
"lutein","Lutein","80006104","","","natural","","direct",""
"lutein","Lutein","80006104","","","natural","NO","direct",""
"Lutein 20 mg","Lutein 20 Mg","80018565","","","natural","","direct",""
"Lutein 20mg","Lutein 20mg","80002987","","","natural","","direct",""
"Lutein-Z","Lutein-Z","80011175","","","natural","","direct",""
"Luzerne","Luzerne","80000468","","","natural","","direct",""
"LYRICA","LYRICA","02268418","N03AX16","28:12.92","drug","","direct","no"
"lyrica (pregabolin)","LYRICA","02268418","N03AX16","28:12.92","drug","","word","no"
"lyrica 25 mg et 50 mg","LYRICA","02268418","N03AX16","28:12.92","drug","","word","no"
"lysine","Lysine","80000505","","","natural","NO","direct",""
"m cal d 1000","M Cal Calcium, Calcium 500 Mg + Vitamine D 1000 Ui","80019536","","","natural","","simple",""
"M cal orange 500 mg 1000UI","Orange","80035916","","","natural","","word",""
"M-CAL ( orange )500mg -1000UI, CO","Orange","80035916","","","natural","YES","word",""
"M-Cal 500 mg","M-Cal 500 Mg","80055526","","","natural","","direct",""
"m-cal 500 mg 1000 ui","M-Cal 500 Mg","80055526","","","natural","","word",""
"m-cal d 400 ui 500 mg","M-Cal D","80013329","","","natural","","word",""
"M-cal( orange ) 500mg -1000ui, co","Orange","80035916","","","natural","YES","word",""
"maca","Maca","80033072","","","natural","","direct",""
"maca magic","Maca","80033072","","","natural","","word",""
"magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","","direct","yes"
"Magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","NO","direct","yes"
"magnesium","MAGNESIUM","00532479","A12CC","88:29.00","drug","YES","direct","yes"
"magnesium - 100 mg","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"magnesium 100 mg","Magnesium 100 Mg","80000447","","","natural","","direct",""
"Magnesium 250mg","Magnesium 250mg","80005579","","","natural","","direct",""
"magnesium 300mg","Magnesium Citrate","80027485","","","natural","","direct",""
"magnesium 500 mg","Magnesium 500 Mg","80021268","","","natural","","direct",""
"magnesium 500mg","Magnesium 500mg","80052076","","","natural","","direct",""
"magnesium bigycinate plus","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"magnesium bisglycinate","Magnesium Bisglycinate","80009136","","","natural","NO","direct",""
"magnesium citrate","MAGNESIUM CITRATE","02151588","A12CC30","88:29.00","drug","","direct","yes"
"Magnesium Citrate","MAGNESIUM CITRATE","02151588","A12CC30","88:29.00","drug","NO","direct","yes"
"magnésium glycinate","Magnesium Glycinate","80015993","","","natural","","direct",""
"magnesium malate nature sunshine","MAGNESIUM","00532479","A12CC","88:29.00","drug","YES","word","yes"
"magnesium nitrate","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"magnésium plus","Magnesium Plus","80028646","","","natural","","direct",""
"Magnesium Sulfate","MAGNESIUM","00532479","A12CC","88:29.00","drug","","word","yes"
"Magsmart","Magsmart","80029321","","","natural","","direct",""
"Mammoth protein powder","Protein","80057932","","","natural","NO","word",""
"Mannatech optimal support packets","Optimal Support Packets","80036663","","","natural","","word",""
"mar atenolol","ATENOLOL","00828793","C07AB03","24:24.00","drug","","word","no"
"mar-atenolol DIN 2371995","MAR-ATENOLOL","02371995","C07AB03","24:24.00","drug","","code",""
"MAR-ATENOLOL, 02371987","MAR-ATENOLOL","02371987","C07AB03","24:24.00","drug","","code",""
"marvelon 21","MARVELON 21","02042487","G03AA09","68:12.00","drug","","direct","no"
"mavik","MAVIK","02231457","C09AA10","24:32.04","drug","","direct","no"
"Max GXL","Maxgxl","80028934","","","natural","","simple",""
"mcal d 1000","M Cal Calcium, Calcium 500 Mg + Vitamine D 1000 Ui","80019536","","","natural","","simple",""
"mcal d1000","M Cal Calcium, Calcium 500 Mg + Vitamine D 1000 Ui","80019536","","","natural","","direct",""
"mcal d400","M-Cal D","80013329","","","natural","","direct",""
"mcal d400 500mg-400ui","M-Cal D","80013329","","","natural","","word",""
"MCal D800","M Cal Calcium, Calcium 500 Mg + Vitamine D 800 Ui","80019533","","","natural","","direct",""
"MCT Energy","Mct Energy","80042097","","","natural","NO","direct",""
"medical marijuana","Medical","80062894","","","natural","","word",""
"mediclear plus","Mediclear Plus","80039270","","","natural","","direct",""
"mega antioxidant","Mega Antioxidant","80029770","","","natural","","direct",""
"mega cal calcium","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"mega nutrition organic superfood","Superfood","80039032","","","natural","","word",""
"mega vitamin c","VITAMIN C","00780634","A11GA01","88:12.00","drug","","word","yes"
"mega-cal calcium","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"megagenics ultra flor balance","BALANCE","00390496","V07AV","38:00.00","drug","","word","yes"
"Melaleuca","Melaleuca Essential Oil","80060950","","","natural","","direct",""
"Melaleuca PM Vitality Multivitamin","MULTIVITAMIN","02236800","","","drug","","word","yes"
"Melaleuca Provex cv","Melaleuca Essential Oil","80060950","","","natural","","word",""
"melaluca oligo multivitamin","MULTIVITAMIN","02236800","","","drug","","word","yes"
"melange d'huiles de poisson","MELANGE","02233170","","92:02.00","drug","","word","no"
"melatonin","Melatonin","80000833","","","natural","","direct",""
"Melatonin","Melatonin","80000833","","","natural","NO","direct",""
"melatonin","Melatonin","80000833","","","natural","YES","direct",""
"melatonin 10 mg","Melatonin 10 Mg","80027419","","","natural","","direct",""
"melatonin 3 mg","Melatonin 3 Mg","80000834","","","natural","","direct",""
"melatonin 3mg","Melatonin 3mg","80004260","","","natural","","direct",""
"melatonin 3mg","Melatonin 3mg","80004260","","","natural","YES","direct",""
"melatonin 5 mg","Melatonin 5 Mg","80000890","","","natural","","direct",""
"melatonine","Mélatonine","80001290","","","natural","YES","direct",""
"melatonine","Mélatonine","80001290","","","natural","","direct",""
"meloxicam","MELOXICAM","02324326","M01AC06","28:08.04.92","drug","","direct","no"
"Meno","Meno","80004988","","","natural","","direct",""
"Menopause (homeopathic remedyA. Vogel)","Ménopause","80003245","","","natural","","word",""
"menosense","Menosense","80006313","","","natural","","direct",""
"mens 50 plus vitamins","50 PLUS","02073102","A11AA03","88:28.00","drug","","word","no"
"mens multi vitamin","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"mens multivitamin","MULTIVITAMIN","02236800","","","drug","","word","yes"
"meriva -sr","Meriva","80042458","","","natural","","word",""
"metabolic nutrtion","Metabolic","80034981","","","natural","","word",""
"metagenics kaprex","Kaprex","80051228","","","natural","","word",""
"metagenics omega genics","Oméga","80060745","","","natural","","word",""
"metamucil 525 mg fibre","Fibre","80041715","","","natural","YES","word",""
"metformin","METFORMIN","02231389","A10BA02","68:20.04","drug","","direct","no"
"metformin","METFORMIN","02231389","A10BA02","68:20.04","drug","YES","direct","no"
"Metformin 500 mg","METFORMIN","02231389","A10BA02","68:20.04","drug","","word","no"
"METFORMIN 500MG","METFORMIN","02231389","A10BA02","68:20.04","drug","","word","no"
"metformin hcl 500 mg","METFORMIN","02231389","A10BA02","68:20.04","drug","","word","no"
"metformin hydrochloride","METFORMIN","02231389","A10BA02","68:20.04","drug","","word","no"
"Methadose","METHADOSE","02394596","N07BC02","28:08.08","drug","","direct","no"
"methotrexate","METHOTREXATE","02170671","L01BA01","10:00.00","drug","","direct","no"
"Methyl-sulfonyl-methane","Msm 1000 Mg","80001844","","","natural","","direct",""
"metoprolol","METOPROLOL","02350394","C07AB02","24:24.00","drug","","direct","no"
"Metoprolol","METOPROLOL","02350394","C07AB02","24:24.00","drug","YES","direct","no"
"metoprolol 100 mg","METOPROLOL","02350394","C07AB02","24:24.00","drug","","word","no"
"metoprolol 25 mg","METOPROLOL","02350394","C07AB02","24:24.00","drug","","word","no"
"Metoprolol 25mg","METOPROLOL","02350394","C07AB02","24:24.00","drug","","word","no"
"Metoprolol Tart","METOPROLOL","02350394","C07AB02","24:24.00","drug","","word","no"
"metoprolol tart film-ctd","METOPROLOL","02350394","C07AB02","24:24.00","drug","","word","no"
"Metoprolol Tartrate","METOPROLOL","02350394","C07AB02","24:24.00","drug","","word","no"
"Metronidazole","METRONIDAZOLE","00545066","P01AB01","08:30.92","drug","","direct","no"
"micro K extencaps 8 meq","MICRO","02136996","D08AE55","84:04.92","drug","","word","no"
"micro k potassium","MICRO","02136996","D08AE55","84:04.92","drug","NO","word","no"
"Mid Nite for Menopause","Ménopause","80003245","","","natural","","word",""
"midnight for menopause","Ménopause","80003245","","","natural","","word",""
"migraine medication acetaminophen 250, aspirin 250 caffene,65mg","ACETAMINOPHEN","02236958","N02BE01","28:08.92","drug","","word","no"
"Migraine Relief","Migraine Relief","80049521","","","natural","","direct",""
"milk thistle","MILK THISTLE","02184788","","92:01.00","drug","","direct","yes"
"Milk thistle","MILK THISTLE","02184788","","92:01.00","drug","NO","direct","yes"
"Milk Thistle 250mg","Milk Thistle 250mg","80022902","","","natural","","direct",""
"millepertuis","Millepertuis","80001328","","","natural","","direct",""
"Mint Zopiclone","ZOPICLONE","02282445","N05CF01","28:24.92","drug","","word","no"
"Mint-Finasteride 5 mg","MINT-FINASTERIDE","02389878","G04CB01","92:08.00","drug","","word","no"
"Mirena IUD","MIRENA","02243005","G02BA03","68:12.00","drug","","word","no"
"Mirtazapine (pms)","MIRTAZAPINE","02252279","N06AX11","28:16.04.92","drug","","word","no"
"Mona Vie","Monavie","80038152","","","natural","","simple",""
"Monavie","Monavie","80038152","","","natural","","direct",""
"monocor 5mg","MONOCOR -(5MG)","02241148","C07AB07","24:24.00","drug","","simple","no"
"mood take care","Serofin","80006429","","","natural","","direct",""
"Morinda Ditrifolia - Adaptagenics","Truage Rapid Fuel","80072753","","","natural","","word",""
"MSM","Msm","80002644","","","natural","","direct",""
"MSM 500mg Glucosamine 375mg","Glucosamine","80000334","","","natural","","word",""
"multi","MULTI","02243300","S01XA20","52:12.00","drug","","direct","yes"
"Multi + daily glow","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"multi -vitamin","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"Multi B#6","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"multi mineral","Multi Mineral","80011936","","","natural","","direct",""
"multi probiotic","Double Strength Ultimate Multi Live Microorganisms","80034114","","","natural","","direct",""
"multi purpose vitamin","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"Multi Silver 50+","Multi Silver 50+","80012827","","","natural","","direct",""
"multi strain probiotic","Complete Probiotic","80011612","","","natural","","direct",""
"multi sure","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"multi sure vitamin 50+","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"multi vit","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"multi vit","MULTI","02243300","S01XA20","52:12.00","drug","NO","word","yes"
"multi vit liquid","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"multi vit-centrum forte","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"multi vit-spectrum","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"multi vit-womens 1 a day","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"multi vita","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"MULTI VITAMIN","Multi Vitamin","02245493","","","natural","","direct",""
"multi vitamin","Multi Vitamin","02245493","","","natural","NO","direct",""
"multi vitamin","Multi Vitamin","02245493","","","natural","YES","direct",""
"Multi vitamin (iron free multi vitamin)","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"Multi Vitamin +50","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"Multi Vitamin - Centrum 50+","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"Multi Vitamin - Shaklee Vitalizer Men","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"multi vitamin - vita-vim (adult 50+)","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"Multi Vitamin 50+","MULTI","02243300","S01XA20","52:12.00","drug","YES","word","yes"
"Multi Vitamin 50+","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"Multi Vitamin 50+ Mens","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"Multi Vitamin for Senior with Lutein anbd Lycopene","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"multi vitamin for seniors","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"multi vitamin formula forte","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"Multi vitamin Men 50+","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"multi vitamin plus","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"multi vitamin senior","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"multi vitamin seniors","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"multi vitamine","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"multi vitamines","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"multi vitamines formule senior","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"Multi Vitamins","Multi Vitamins","80061054","","","natural","","direct",""
"multi vitammin","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"multi vites","MULTI","02243300","S01XA20","52:12.00","drug","NO","word","yes"
"multi-vit","Multivit","80005634","","","natural","","simple",""
"Multi-vitamin","Multi-Vitamin","80043050","","","natural","","direct",""
"Multi-Vitamin","Multi-Vitamin","80043050","","","natural","NO","direct",""
"multi-vitamin for men","Multi-Vitamin For Men","80056273","","","natural","","direct",""
"multimineral plus","Plus","80039392","","","natural","","word",""
"Multiple amino acids","Amino","80072294","","","natural","","word",""
"Multiple Vitamin","Daily Multi Vitamin","80067478","","","natural","","word",""
"Multiple Vitamin for women","FOR WOMEN","02240798","A11JB","88:28.01","drug","","word","no"
"MultiSure Multivitamin","MULTIVITAMIN","02236800","","","drug","","word","yes"
"multiu vitamin seniors","Daily Multi Vitamin","80067478","","","natural","","word",""
"multivimin","Multi Vi Min","80009389","","","natural","","simple",""
"multivit","Multivit","80005634","","","natural","","direct",""
"multivitam for men","FOR MEN","02240797","A11JB","88:28.01","drug","NO","word","no"
"multivitam for senior men","Multivitamins And Minerals With Lutein And Lycopene Formula Senior","80007355","","","natural","","word",""
"multivitamin","MULTIVITAMIN","02236800","","","drug","","direct","yes"
"multivitamin","MULTIVITAMIN","02236800","","","drug","NO","direct","yes"
"multivitamin  Life Brand daily one","MULTIVITAMIN","02236800","","","drug","","word","yes"
"Multivitamin  One A Day Gummies","MULTIVITAMIN","02236800","","","drug","NO","word","yes"
"MultiVitamin & minerals","MULTIVITAMIN","02236800","","","drug","","word","yes"
"Multivitamin (One A Day","MULTIVITAMIN","02236800","","","drug","","word","yes"
"Multivitamin (Thorne Research)","MULTIVITAMIN","02236800","","","drug","","word","yes"
"multivitamin (Usana)","MULTIVITAMIN","02236800","","","drug","","word","yes"
"multivitamin + (USANA)","MULTIVITAMIN","02236800","","","drug","","word","yes"
"multivitamin - 50+","MULTIVITAMIN","02236800","","","drug","NO","word","yes"
"multivitamin - 50+ female","MULTIVITAMIN","02236800","","","drug","","word","yes"
"Multivitamin - Natural Factors","MULTIVITAMIN","02236800","","","drug","","word","yes"
"multivitamin - seniors","MULTIVITAMIN","02236800","","","drug","NO","word","yes"
"multivitamin - womens' formula","MULTIVITAMIN","02236800","","","drug","NO","word","yes"
"multivitamin 50","MULTIVITAMIN","02236800","","","drug","NO","word","yes"
"multivitamin 50 +","MULTIVITAMIN","02236800","","","drug","","word","yes"
"multivitamin 50+","Multi 100% Complete For Adults 50+","80063890","","","natural","","direct",""
"multivitamin 50+","Multi 100% Complete For Adults 50+","80063890","","","natural","NO","direct",""
"multivitamin 50+ formula","MULTIVITAMIN","02236800","","","drug","","word","yes"
"multivitamin 50+ males","MULTIVITAMIN","02236800","","","drug","NO","word","yes"
"Multivitamin 50+ Women","MULTIVITAMIN","02236800","","","drug","","word","yes"
"Multivitamin 55 plus","MULTIVITAMIN","02236800","","","drug","NO","word","yes"
"multivitamin adults over 50","MULTIVITAMIN","02236800","","","drug","","word","yes"
"Multivitamin and mineral","MULTIVITAMIN AND MINERAL","02245912","A11JB","88:28.01","drug","NO","direct","yes"
"MULTIVITAMIN AND MINERALS","Multivitamin And Minerals","80043113","","","natural","","direct",""
"multivitamin and minerals for men","Multivitamin And Minerals For Men","80045431","","","natural","NO","direct",""
"Multivitamin and multimineral supplement","MULTIVITAMIN","02236800","","","drug","","word","yes"
"multivitamin cardio","MULTIVITAMIN","02236800","","","drug","","word","yes"
"Multivitamin Centrum","MULTIVITAMIN","02236800","","","drug","","word","yes"
"Multivitamin Centrum Forte","MULTIVITAMIN","02236800","","","drug","NO","word","yes"
"multivitamin centrum silver","MULTIVITAMIN","02236800","","","drug","","word","yes"
"multivitamin foir men 50+","MULTIVITAMIN","02236800","","","drug","","word","yes"
"multivitamin for 50+","MULTIVITAMIN","02236800","","","drug","","word","yes"
"multivitamin for adults","Daily Health Multi","80064009","","","natural","","direct",""
"multivitamin for men","Multivitamin For Men","80061270","","","natural","","direct",""
"multivitamin for men","Multivitamin For Men","80061270","","","natural","NO","direct",""
"multivitamin for men 50+","Multi-Vitamins For Men 50+","80059960","","","natural","NO","direct",""
"multivitamin for men 50+","Multi-Vitamins For Men 50+","80059960","","","natural","","direct",""
"Multivitamin for older adults","MULTIVITAMIN","02236800","","","drug","","word","yes"
"multivitamin for over 40","MULTIVITAMIN","02236800","","","drug","","word","yes"
"multivitamin for senior","MULTIVITAMIN","02236800","","","drug","NO","word","yes"
"multivitamin for senior men","MULTIVITAMIN","02236800","","","drug","","word","yes"
"multivitamin for senior woman","MULTIVITAMIN","02236800","","","drug","NO","word","yes"
"multivitamin for seniors","MULTIVITAMIN","02236800","","","drug","NO","word","yes"
"Multivitamin for seniors","MULTIVITAMIN","02236800","","","drug","","word","yes"
"multivitamin for women","Multivitamin For Women","80061407","","","natural","","direct",""
"multivitamin for women","Multivitamin For Women","80061407","","","natural","NO","direct",""
"Multivitamin london drugs brand 50+ formula","MULTIVITAMIN","02236800","","","drug","","word","yes"
"Multivitamin Mineral Complex powder","MULTIVITAMIN","02236800","","","drug","","word","yes"
"Multivitamin Over 50","MULTIVITAMIN","02236800","","","drug","","word","yes"
"Multivitamin select 50+","MULTIVITAMIN","02236800","","","drug","","word","yes"
"multivitamin senior","MULTIVITAMIN","02236800","","","drug","","word","yes"
"multivitamin senior with lutein","MULTIVITAMIN","02236800","","","drug","","word","yes"
"Multivitamin Ultimate One","MULTIVITAMIN","02236800","","","drug","","word","yes"
"multivitamin with lutein","Multivitamin With Lutein","80005339","","","natural","","direct",""
"multivitamin with lutein and lycompene (kirkland brand)","MULTIVITAMIN","02236800","","","drug","","word","yes"
"MultiVitamin with Lutein and Lycopene","MULTIVITAMIN","02236800","","","drug","NO","word","yes"
"multivitamin women","Multivitamin Women","80048914","","","natural","","direct",""
"multivitamin womens formula","MULTIVITAMIN","02236800","","","drug","NO","word","yes"
"Multivitamin, Senior formula","Multivitamins And Minerals With Lutein And Lycopene Formula Senior","80007355","","","natural","NO","word",""
"Multivitamin/mineral supplement Centrum Select  50+ NPN 80005153","Centrum Select","80005153","","","natural","","code",""
"Multivitamine","MULTIVITAMINE","02238090","A11JC","88:28.00","drug","","direct","no"
"multivitamine","MULTIVITAMINE","02238090","A11JC","88:28.00","drug","NO","direct","no"
"multivitamine (Centrum)","MULTIVITAMINE","02238090","A11JC","88:28.00","drug","","word","no"
"multivitamine pour 50+","MULTIVITAMINE","02238090","A11JC","88:28.00","drug","","word","no"
"multivitamine pour femmes","MULTIVITAMINE","02238090","A11JC","88:28.00","drug","NO","word","no"
"multivitamine senior","MULTIVITAMINE","02238090","A11JC","88:28.00","drug","","word","no"
"multivitamines","MULTIVITAMINES","02237421","","88:28.00","drug","","direct","yes"
"multivitamines","MULTIVITAMINES","02237421","","88:28.00","drug","YES","direct","yes"
"Multivitamins","MULTIVITAMINS","00244341","A11BA","88:28.00","drug","","direct","yes"
"multivitamins","MULTIVITAMINS","00244341","A11BA","88:28.00","drug","NO","direct","yes"
"multivitamins for women","Multivitamins For Women","80059292","","","natural","NO","direct",""
"multivitamins men 50+ (Progressive)","MULTIVITAMINS","00244341","A11BA","88:28.00","drug","","word","yes"
"MultiVitamins"Adult Men"(Progressive brand) NPN 80036573","Progressive Multiple Vitamins And Minerals For Adult Men","80036573","","","natural","","code",""
"multivitamis, total one","TOTAL","00564427","V07AV","38:00.00","drug","","word","no"
"multivite","MULTI-VITE","00705233","A11AA03","88:28.01","drug","","simple","no"
"Multivite","MULTI-VITE","00705233","A11AA03","88:28.01","drug","NO","simple","no"
"multivitmin Centrum for Men","FOR MEN","02240797","A11JB","88:28.01","drug","","word","no"
"Muro-128 (normal saline eye ointment) NPN 00750816","Muro 128 5% Ointment","00750816","","","natural","","code",""
"muti mineral plus","Plus","80039392","","","natural","NO","word",""
"mutivitamine senior","Multivitamins And Minerals With Lutein And Lycopene Formula Senior","80007355","","","natural","","word",""
"mutli vitamin","Daily Multi Vitamin","80067478","","","natural","","word",""
"myfortic","MYFORTIC","02264560","L04AA06","92:44.00","drug","","direct","no"
"Mylan acyclovir","ACYCLOVIR","02286556","J05AB01","08:18.32","drug","","word","no"
"Mylan Candesartan","CANDESARTAN","02377934","C09CA06","24:32.08","drug","","word","no"
"mylan clonazepam","CLONAZEPAM","02344602","N03AE01","28:12.08","drug","","word","no"
"mylan indapamide","INDAPAMIDE","02365324","C03BA11","40:28.24","drug","","word","no"
"mylan losartan","LOSARTAN","02388790","C09CA01","24:32.08","drug","","word","no"
"Mylan Losartan HCTZ PLAQ","LOSARTAN","02388790","C09CA01","24:32.08","drug","","word","no"
"mylan nifedipine","NIFEDIPINE","00755907","C08CA05","24:28.08","drug","","word","no"
"mylan nifedipine xl","NIFEDIPINE","00755907","C08CA05","24:28.08","drug","","word","no"
"mylan sumatriptan","SUMATRIPTAN","02286513","N02CC01","28:32.28","drug","","word","no"
"mylan-budesonide aq","MYLAN-BUDESONIDE AQ","02230648","R01AD05","52:08.08","drug","","direct","no"
"mylan-celecoxib 200 mg","MYLAN-CELECOXIB","02399881","M01AH01","28:08.04.08","drug","YES","word","no"
"mylan-esomeprazole","MYLAN-ESOMEPRAZOLE","02383039","A02BC05","56:28.36","drug","","direct","no"
"mylan-indapamide 2.5 mg","MYLAN-INDAPAMIDE","02153483","C03BA11","40:28.24","drug","","word","no"
"myrbetriq mirabegron","MYRBETRIQ","02402874","G04BD","86:12.08.12","drug","","word","no"
"N/A","N/A","80000921","","","natural","","direct",""
"NA","N/A","80000921","","","natural","","simple",""
"nadolol 20","NADOLOL","00782467","C07AA12","24:24.00","drug","","word","no"
"Naproxen","NAPROXEN","02350750","M01AE02","28:08.04.92","drug","","direct","no"
"naproxen sodium","NAPROXEN SODIUM","02351013","M01AE02","28:08.04.92","drug","","direct","no"
"Nardil","NARDIL","00476552","N06AF03","28:16.04.12","drug","","direct","no"
"nasacort","NASACORT","01913328","R01AD11","52:08.08","drug","","direct","no"
"nasal spray","NASAL SPRAY","02233407","","92:02.00","drug","","direct","no"
"nasonex","NASONEX","02238465","R01AD09","52:08.08","drug","","direct","no"
"Natren Healthy Start System Probiotics in Vegie Capsules Dairy Supplement","Probiotics","80055794","","","natural","","word",""
"Natural Benefibre","Benefibre","80002965","","","natural","","word",""
"natural egg shell membrane","Natural Eggshell Membrane","80057196","","","natural","","simple",""
"Natural Factor Vitamin C","VITAMIN C","00780634","A11GA01","88:12.00","drug","","word","yes"
"Natural Factors Calcium","CALCIUM","02175584","A12AA","88:29.00","drug","","word","yes"
"Natural Factors Mega Halibut Liver Oil","HALIBUT LIVER OIL","00701246","A11CB","88:04.01","drug","","word","yes"
"Nature Made Multi Daily","MULTI","02243300","S01XA20","52:12.00","drug","","word","yes"
"nature's sunshine cat's claw combination 300 mg, astragalus 121 mg, echinacea 25 mg","ECHINACEA","02232056","","92:02.00","drug","","word","yes"
"natures bounty with vitamin d","VITAMIN D","02241564","A11CC","88:16.00","drug","NO","word","yes"
"new chapter 40+ every woman's multivitamin","MULTIVITAMIN","02236800","","","drug","","word","yes"
"newport natural health curcumin 500 mg","Curcumin","80020741","","","natural","","word",""
"Nexium","NEXIUM","02300524","A02BC05","56:28.36","drug","","direct","no"
"Nexium","NEXIUM","02300524","A02BC05","56:28.36","drug","YES","direct","no"
"nexium 40","NEXIUM","02300524","A02BC05","56:28.36","drug","","word","no"
"Nexium 40 mg","NEXIUM","02300524","A02BC05","56:28.36","drug","","word","no"
"Nexium 40mg","NEXIUM","02300524","A02BC05","56:28.36","drug","","word","no"
"Niacin","Niacin","02164256","","","natural","","direct",""
"niacin","Niacin","02164256","","","natural","YES","direct",""
"Niacin","Niacin","02164256","","","natural","NO","direct",""
"niacin 2000mg","Niacin","02164256","","","natural","","word",""
"Nicorette inhaler","Nicorette Inhaler","02241742","","","natural","","direct",""
"nifedipine","NIFEDIPINE","00755907","C08CA05","24:28.08","drug","","direct","no"
"Nikken Osteo Denx","Osteo","80036903","","","natural","","word",""
"nitro glycerine","Glycerine","00489409","","","natural","","word",""
"norwegian cod liver oil","NORWEGIAN COD LIVER OIL","00310638","A11CB","88:04.01","drug","","direct","yes"
"nova metoprolol","METOPROLOL","02350394","C07AB02","24:24.00","drug","","word","no"
"novarapid insulin","Insulin","80016478","","","natural","","word",""
"novo gesic","NOVO-GESIC","00389218","N02BE01","28:08.92","drug","","simple","no"
"novo hydroxyzin","NOVO-HYDROXYZIN","00738824","N05BB01","28:24.92","drug","","simple","no"
"novo pheniram","NOVO-PHENIRAM","00021288","R06AB04","04:04.20","drug","","simple","no"
"novo pravastatin","PRAVASTATIN","02249766","C10AA03","24:06.08","drug","","word","no"
"novo salbutamol hfa","SALBUTAMOL HFA","02419858","R03AC02","12:12.08.12","drug","","word","no"
"Novo Venlafaxine XR","VENLAFAXINE XR","02273969","N06AX16","28:16.04.16","drug","","word","no"
"novo-ferrogluc","Ferrous Gluconate","80000435","","","natural","","direct",""
"novo-rapid insulin","Insulin","80016478","","","natural","","word",""
"novorapid","NOVORAPID","02244353","A10AB05","68:20.08","drug","","direct","no"
"novorapid","NOVORAPID","02244353","A10AB05","68:20.08","drug","YES","direct","no"
"novorapid penfill","NOVORAPID","02244353","A10AB05","68:20.08","drug","","word","no"
"now brand ultra b-12 b-complex liquid","B-COMPLEX","02238709","A11EA","88:08.00","drug","NO","word","yes"
"npn, 80020979 iron 150mg","Polyride-Fe Capsules","80020979","","","natural","","code",""
"nucynta ER 100 mg DIN 02415585","NUCYNTA EXTENDED-RELEASE","02415585","N02AX06","28:08.08","drug","","code",""
"nultivitamin centrum","Centrum","02246362","","","natural","","word",""
"nutra sea","Nutrasea","80007502","","","natural","","simple",""
